locus_tag,ftype,length_bp,gene,EC_number,COG,product,strain,functional_category
GIPMOJEJ_02000,tRNA,72,,,,tRNA-Trp(cca),CP034457,Other
GIPMOJEJ_02001,CDS,4530,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02002,CDS,258,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02003,CDS,447,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02004,CDS,1056,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02005,tRNA,82,,,,tRNA-Ser(tga),CP034457,Other
GIPMOJEJ_02006,CDS,147,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02007,CDS,315,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02008,CDS,288,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02009,CDS,165,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02010,CDS,579,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02011,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02012,CDS,1410,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02013,CDS,237,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02014,CDS,585,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02015,CDS,111,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02016,tRNA,82,,,,tRNA-Ser(tga),CP034457,Other
GIPMOJEJ_02017,CDS,255,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02018,CDS,1938,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02019,CDS,243,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02020,CDS,471,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02021,CDS,3207,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02022,CDS,177,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02023,CDS,264,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02024,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02025,CDS,738,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02026,CDS,117,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02027,CDS,333,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02028,CDS,1086,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02029,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02030,CDS,942,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02031,CDS,123,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02032,CDS,240,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02033,CDS,513,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02034,CDS,240,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02035,CDS,2034,trm1,2.1.1.215,,tRNA (guanine(26)-N(2))-dimethyltransferase,CP034457,Other
GIPMOJEJ_02036,CDS,498,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02037,CDS,204,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02038,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02039,CDS,132,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02040,CDS,171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02041,CDS,138,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02042,CDS,420,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02043,CDS,1014,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02044,CDS,2001,coaBC,6.3.2.5,,Coenzyme A biosynthesis bifunctional protein CoaBC,CP034457,Other
GIPMOJEJ_02045,CDS,516,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02046,CDS,2403,glnS,6.1.1.18,,Glutamine--tRNA ligase,CP034457,Metabolism
GIPMOJEJ_02047,CDS,165,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02048,CDS,144,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02049,CDS,1437,menH,4.2.99.20,,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",CP034457,Metabolism
GIPMOJEJ_02050,CDS,294,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02051,CDS,144,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02052,CDS,168,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02053,CDS,1653,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02054,CDS,660,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02055,CDS,243,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02056,CDS,252,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02057,CDS,147,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02058,CDS,222,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02059,CDS,162,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02060,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02061,CDS,561,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02062,CDS,120,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02063,CDS,1008,orn,3.1.-.-,,Oligoribonuclease,CP034457,Other
GIPMOJEJ_02064,CDS,4959,pknD_17,2.7.11.1,,Serine/threonine-protein kinase PknD,CP034457,Regulation
GIPMOJEJ_02065,CDS,132,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02066,rRNA,115,,,,5S ribosomal RNA,CP034457,Other
GIPMOJEJ_02067,CDS,264,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02068,CDS,225,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02069,CDS,624,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02070,CDS,267,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02071,CDS,147,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02072,CDS,2091,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02073,CDS,264,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02074,CDS,363,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02075,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02076,CDS,705,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02077,CDS,150,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02078,CDS,1320,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02079,CDS,123,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02080,CDS,1065,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02081,CDS,222,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02082,CDS,873,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02083,CDS,135,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02084,CDS,243,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02085,CDS,1368,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02086,CDS,387,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02087,CDS,282,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02088,CDS,1368,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02089,CDS,99,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02090,CDS,255,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02091,CDS,144,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02092,CDS,210,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02093,CDS,1449,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02094,CDS,240,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02095,CDS,201,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02096,CDS,1317,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02097,CDS,303,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02098,CDS,2676,malP,2.4.1.1,COG0058,Maltodextrin phosphorylase,CP034457,Other
GIPMOJEJ_02099,CDS,1938,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02100,CDS,708,rplD,,COG0088,Large ribosomal subunit protein uL4,CP034457,Other
GIPMOJEJ_02101,CDS,1059,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02102,CDS,150,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02103,CDS,174,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02104,CDS,285,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02105,CDS,177,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02106,CDS,354,rpsM,,,Small ribosomal subunit protein uS13,CP034457,Other
GIPMOJEJ_02107,CDS,195,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02108,CDS,2553,rapA,3.6.4.-,,RNA polymerase-associated protein RapA,CP034457,Other
GIPMOJEJ_02109,CDS,276,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02110,CDS,4161,lgrD,,,Linear gramicidin synthase subunit D,CP034457,Metabolism
GIPMOJEJ_02111,CDS,1287,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02112,CDS,1806,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02113,CDS,204,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02114,CDS,1746,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02115,CDS,600,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02116,CDS,135,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02117,CDS,141,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02118,CDS,318,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02119,CDS,225,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02120,CDS,789,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02121,CDS,780,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02122,CDS,213,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02123,CDS,111,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02124,CDS,312,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02125,CDS,240,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02126,CDS,2160,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02127,CDS,180,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02128,CDS,144,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02129,CDS,99,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02130,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02131,CDS,1395,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02132,CDS,228,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02133,rRNA,117,,,,5S ribosomal RNA,CP034457,Other
GIPMOJEJ_02134,CDS,138,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02135,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02136,CDS,1086,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02137,CDS,183,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02138,CDS,717,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02139,CDS,168,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02140,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02141,CDS,1515,thrS,6.1.1.3,,Threonine--tRNA ligase,CP034457,Metabolism
GIPMOJEJ_02142,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02143,CDS,219,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02144,CDS,432,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02145,CDS,363,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02146,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02147,CDS,1248,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02148,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02149,CDS,210,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02150,CDS,312,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02151,CDS,132,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02152,tRNA,71,,,,tRNA-Gly(gcc),CP034457,Other
GIPMOJEJ_02153,CDS,3471,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02154,CDS,198,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02155,CDS,138,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02156,CDS,1830,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02157,CDS,267,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02158,CDS,189,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02159,CDS,210,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02160,CDS,1272,cefD,5.1.1.17,COG0520,Isopenicillin N epimerase,CP034457,Other
GIPMOJEJ_02161,CDS,180,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02162,CDS,153,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02163,CDS,261,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02164,CDS,1026,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02165,CDS,276,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02166,CDS,195,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02167,CDS,258,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02168,CDS,1233,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02169,CDS,168,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02170,CDS,261,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02171,CDS,231,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02172,CDS,168,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02173,CDS,210,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02174,CDS,1017,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02175,CDS,1713,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02176,CDS,348,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02177,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02178,CDS,150,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02179,CDS,318,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02180,CDS,597,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02181,CDS,351,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02182,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02183,CDS,222,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02184,CDS,273,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02185,CDS,3066,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02186,CDS,366,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02187,CDS,1338,cetZ_2,,,Tubulin-like protein CetZ,CP034457,Other
GIPMOJEJ_02188,CDS,339,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02189,CDS,321,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02190,CDS,165,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02191,CDS,207,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02192,CDS,171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02193,CDS,933,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02194,CDS,279,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02195,CDS,183,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02196,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02197,CDS,660,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02198,CDS,174,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02199,CDS,96,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02200,CDS,762,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02201,CDS,291,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02202,CDS,270,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02203,CDS,771,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02204,CDS,498,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02205,CDS,426,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02206,CDS,414,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02207,CDS,147,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02208,CDS,234,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02209,CDS,276,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02210,CDS,195,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02211,CDS,1320,eno,4.2.1.11,COG0148,Enolase,CP034457,Other
GIPMOJEJ_02212,CDS,171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02213,CDS,1347,kynU,3.7.1.3,,Kynureninase,CP034457,Other
GIPMOJEJ_02214,CDS,123,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02215,CDS,297,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02216,CDS,1527,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02217,CDS,1317,pknD_18,2.7.11.1,,Serine/threonine-protein kinase PknD,CP034457,Regulation
GIPMOJEJ_02218,CDS,261,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02219,CDS,1476,lat,2.6.1.36,,L-lysine-epsilon aminotransferase,CP034457,Other
GIPMOJEJ_02220,CDS,102,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02221,CDS,618,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02222,CDS,3171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02223,CDS,267,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02224,CDS,2157,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02225,CDS,141,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02226,CDS,1152,gpsA,1.1.1.94,,Glycerol-3-phosphate dehydrogenase [NAD(P)+],CP034457,Redox / energy
GIPMOJEJ_02227,CDS,255,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02228,CDS,147,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02229,CDS,792,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02230,CDS,279,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02231,CDS,1011,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02232,CDS,369,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02233,CDS,744,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02234,CDS,507,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02235,CDS,171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02236,CDS,597,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02237,CDS,753,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02238,CDS,480,gpx1_1,1.11.1.22,COG0386,Hydroperoxy fatty acid reductase gpx1,CP034457,Other
GIPMOJEJ_02239,CDS,1182,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02240,CDS,321,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02241,CDS,132,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02242,CDS,1548,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02243,CDS,258,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02244,CDS,123,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02245,CDS,495,gpx1_2,1.11.1.22,COG0386,Hydroperoxy fatty acid reductase gpx1,CP034457,Other
GIPMOJEJ_02246,CDS,975,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02247,CDS,222,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02248,CDS,2520,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02249,CDS,900,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02250,CDS,399,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02251,CDS,2127,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02252,CDS,171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02253,CDS,1122,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02254,CDS,219,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02255,CDS,138,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02256,CDS,168,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02257,CDS,1212,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02258,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02259,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02260,CDS,1479,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02261,CDS,141,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02262,CDS,1197,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02263,CDS,177,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02264,CDS,1053,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02265,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02266,CDS,1461,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02267,CDS,858,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02268,CDS,402,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02269,CDS,1065,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02270,CDS,1386,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02271,CDS,213,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02272,CDS,501,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02273,CDS,204,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02274,CDS,186,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02275,CDS,1968,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02276,CDS,780,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02277,CDS,159,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02278,CDS,1611,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02279,CDS,1503,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02280,CDS,924,sseA,2.8.1.2,COG2897,3-mercaptopyruvate sulfurtransferase,CP034457,Other
GIPMOJEJ_02281,CDS,174,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02282,CDS,96,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02283,CDS,117,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02284,CDS,204,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02285,CDS,759,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02286,CDS,171,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02287,CDS,639,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02288,CDS,210,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02289,CDS,474,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02290,CDS,144,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02291,CDS,147,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02292,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02293,CDS,741,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02294,CDS,240,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02295,CDS,174,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02296,CDS,1017,thi5,2.-.-.-,COG0715,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,CP034457,Metabolism
GIPMOJEJ_02297,CDS,126,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02298,CDS,2040,truD,5.4.99.27,,tRNA pseudouridine synthase D,CP034457,Metabolism
GIPMOJEJ_02299,CDS,231,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02300,CDS,132,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02301,CDS,978,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02302,CDS,144,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02303,CDS,228,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02304,CDS,168,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02305,CDS,1956,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02306,CDS,2376,pknD_19,2.7.11.1,,Serine/threonine-protein kinase PknD,CP034457,Regulation
GIPMOJEJ_02307,CDS,261,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02308,CDS,1743,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02309,CDS,177,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02310,CDS,135,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02311,CDS,2550,fusA_2,,COG0480,Elongation factor G,CP034457,Other
GIPMOJEJ_02312,CDS,318,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02313,CDS,2583,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02314,CDS,288,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02315,CDS,1602,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02316,CDS,759,nagB,3.5.99.6,,Glucosamine-6-phosphate deaminase,CP034457,Other
GIPMOJEJ_02317,CDS,1209,nagA,3.5.1.25,COG1820,N-acetylglucosamine-6-phosphate deacetylase,CP034457,Other
GIPMOJEJ_02318,CDS,150,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02319,CDS,831,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02320,CDS,240,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02321,CDS,378,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02322,CDS,786,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02323,CDS,249,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02324,CDS,2277,ubiE_2,2.1.1.163,,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,CP034457,Other
GIPMOJEJ_02325,CDS,396,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02326,CDS,183,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02327,CDS,261,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02328,CDS,216,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02329,CDS,705,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02330,CDS,228,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02331,CDS,192,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02332,CDS,210,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02333,CDS,1338,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02334,CDS,243,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02335,CDS,813,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02336,CDS,1065,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02337,CDS,2040,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02338,CDS,378,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02339,CDS,129,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02340,CDS,183,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02341,CDS,1836,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02342,CDS,1224,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02343,CDS,1701,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02344,CDS,138,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02345,CDS,2067,,,,hypothetical protein,CP034457,Other
GIPMOJEJ_02346,CDS,234,,,,hypothetical protein,CP034457,Other
